"id","created_at","updated_at","form","hin","hin_1","hin_2","hin_3","katsu_kei","katsu_kata","genkei","yomi","hatsu","history_id","category_id","genre_id","user_id"
"78154","04/15/2015 08:53:53","04/15/2015 08:53:53","
","記号","一般","*","*","*","*","*","*","*","88","6","3",NULL
"78155","04/15/2015 08:53:53","04/15/2015 08:53:53","　","記号","空白","*","*","*","*","　","　","　","88","6","3",NULL
"78156","04/15/2015 08:53:53","04/15/2015 08:53:53","イスラム","名詞","固有名詞","一般","*","*","*","イスラム","イスラム","イスラム","88","6","3",NULL
"78157","04/15/2015 08:53:53","04/15/2015 08:53:53","諸国","名詞","一般","*","*","*","*","諸国","ショコク","ショコク","88","6","3",NULL
"78158","04/15/2015 08:53:53","04/15/2015 08:53:53","で","助詞","格助詞","一般","*","*","*","で","デ","デ","88","6","3",NULL
"78159","04/15/2015 08:53:53","04/15/2015 08:53:53","は","助詞","係助詞","*","*","*","*","は","ハ","ワ","88","6","3",NULL
"78160","04/15/2015 08:53:53","04/15/2015 08:53:53","今","名詞","副詞可能","*","*","*","*","今","イマ","イマ","88","6","3",NULL
"78161","04/15/2015 08:53:53","04/15/2015 08:53:53","、","記号","読点","*","*","*","*","、","、","、","88","6","3",NULL
"78162","04/15/2015 08:53:53","04/15/2015 08:53:53","過激","名詞","一般","*","*","*","*","過激","カゲキ","カゲキ","88","6","3",NULL
"78163","04/15/2015 08:53:53","04/15/2015 08:53:53","で","助詞","格助詞","一般","*","*","*","で","デ","デ","88","6","3",NULL
"78164","04/15/2015 08:53:53","04/15/2015 08:53:53","不","接頭詞","名詞接続","*","*","*","*","不","フ","フ","88","6","3",NULL
"78165","04/15/2015 08:53:53","04/15/2015 08:53:53","寛容","名詞","形容動詞語幹","*","*","*","*","寛容","カンヨウ","カンヨー","88","6","3",NULL
"78166","04/15/2015 08:53:53","04/15/2015 08:53:53","な","助動詞","*","*","*","特殊・ダ","体言接続","だ","ナ","ナ","88","6","3",NULL
"78167","04/15/2015 08:53:53","04/15/2015 08:53:53","主張","名詞","サ変接続","*","*","*","*","主張","シュチョウ","シュチョー","88","6","3",NULL
"78168","04/15/2015 08:53:53","04/15/2015 08:53:53","が","助詞","格助詞","一般","*","*","*","が","ガ","ガ","88","6","3",NULL
"78169","04/15/2015 08:53:53","04/15/2015 08:53:53","どんどん","副詞","助詞類接続","*","*","*","*","どんどん","ドンドン","ドンドン","88","6","3",NULL
"78170","04/15/2015 08:53:53","04/15/2015 08:53:53","幅","名詞","一般","*","*","*","*","幅","ハバ","ハバ","88","6","3",NULL
"78171","04/15/2015 08:53:53","04/15/2015 08:53:53","を","助詞","格助詞","一般","*","*","*","を","ヲ","ヲ","88","6","3",NULL
"78172","04/15/2015 08:53:53","04/15/2015 08:53:53","きかせ","動詞","自立","*","*","一段","連用形","きかせる","キカセ","キカセ","88","6","3",NULL
"78173","04/15/2015 08:53:53","04/15/2015 08:53:53","て","助詞","接続助詞","*","*","*","*","て","テ","テ","88","6","3",NULL
"78174","04/15/2015 08:53:53","04/15/2015 08:53:53","いる","動詞","非自立","*","*","一段","基本形","いる","イル","イル","88","6","3",NULL
"78175","04/15/2015 08:53:53","04/15/2015 08:53:53","。","記号","句点","*","*","*","*","。","。","。","88","6","3",NULL
"78176","04/15/2015 08:53:53","04/15/2015 08:53:53","穏健","名詞","形容動詞語幹","*","*","*","*","穏健","オンケン","オンケン","88","6","3",NULL
"78177","04/15/2015 08:53:53","04/15/2015 08:53:53","派","名詞","接尾","一般","*","*","*","派","ハ","ハ","88","6","3",NULL
"78178","04/15/2015 08:53:53","04/15/2015 08:53:53","は","助詞","係助詞","*","*","*","*","は","ハ","ワ","88","6","3",NULL
"78179","04/15/2015 08:53:53","04/15/2015 08:53:53","「","記号","括弧開","*","*","*","*","「","「","「","88","6","3",NULL
"78180","04/15/2015 08:53:53","04/15/2015 08:53:53","反","接頭詞","名詞接続","*","*","*","*","反","ハン","ハン","88","6","3",NULL
"78181","04/15/2015 08:53:53","04/15/2015 08:53:53","イスラム","名詞","固有名詞","一般","*","*","*","イスラム","イスラム","イスラム","88","6","3",NULL
"78182","04/15/2015 08:53:53","04/15/2015 08:53:53","」","記号","括弧閉","*","*","*","*","」","」","」","88","6","3",NULL
