"id","created_at","updated_at","form","hin","hin_1","hin_2","hin_3","katsu_kei","katsu_kata","genkei","yomi","hatsu","history_id","category_id","genre_id","user_id"
"87909","04/15/2015 08:54:34","04/15/2015 08:54:34","人","名詞","接尾","助数詞","*","*","*","人","ニン","ニン","623","6","3",NULL
"87910","04/15/2015 08:54:34","04/15/2015 08:54:34","が","助詞","格助詞","一般","*","*","*","が","ガ","ガ","623","6","3",NULL
"87911","04/15/2015 08:54:34","04/15/2015 08:54:34","死亡","名詞","サ変接続","*","*","*","*","死亡","シボウ","シボー","623","6","3",NULL
"87912","04/15/2015 08:54:34","04/15/2015 08:54:34","し","動詞","自立","*","*","サ変・スル","連用形","する","シ","シ","623","6","3",NULL
"87913","04/15/2015 08:54:34","04/15/2015 08:54:34","た","助動詞","*","*","*","特殊・タ","基本形","た","タ","タ","623","6","3",NULL
"87914","04/15/2015 08:54:34","04/15/2015 08:54:34","。","記号","句点","*","*","*","*","。","。","。","623","6","3",NULL
"87915","04/15/2015 08:54:34","04/15/2015 08:54:34","この","連体詞","*","*","*","*","*","この","コノ","コノ","623","6","3",NULL
"87916","04/15/2015 08:54:34","04/15/2015 08:54:34","中","名詞","非自立","副詞可能","*","*","*","中","ナカ","ナカ","623","6","3",NULL
"87917","04/15/2015 08:54:34","04/15/2015 08:54:34","に","助詞","格助詞","一般","*","*","*","に","ニ","ニ","623","6","3",NULL
"87918","04/15/2015 08:54:34","04/15/2015 08:54:34","は","助詞","係助詞","*","*","*","*","は","ハ","ワ","623","6","3",NULL
"87919","04/15/2015 08:54:34","04/15/2015 08:54:34","、","記号","読点","*","*","*","*","、","、","、","623","6","3",NULL
"87920","04/15/2015 08:54:34","04/15/2015 08:54:34","2008","名詞","数","*","*","*","*","*","*","*","623","6","3",NULL
"87921","04/15/2015 08:54:34","04/15/2015 08:54:34","年","名詞","接尾","助数詞","*","*","*","年","ネン","ネン","623","6","3",NULL
"87922","04/15/2015 08:54:34","04/15/2015 08:54:34","に","助詞","格助詞","一般","*","*","*","に","ニ","ニ","623","6","3",NULL
"87923","04/15/2015 08:54:34","04/15/2015 08:54:34","シリア","名詞","固有名詞","地域","国","*","*","シリア","シリア","シリア","623","6","3",NULL
"87924","04/15/2015 08:54:34","04/15/2015 08:54:34","首都","名詞","一般","*","*","*","*","首都","シュト","シュト","623","6","3",NULL
"87925","04/15/2015 08:54:34","04/15/2015 08:54:34","ダマスカス","名詞","固有名詞","地域","一般","*","*","ダマスカス","ダマスカス","ダマスカス","623","6","3",NULL
"87926","04/15/2015 08:54:34","04/15/2015 08:54:34","（","記号","括弧開","*","*","*","*","（","（","（","623","6","3",NULL
"87927","04/15/2015 08:54:34","04/15/2015 08:54:34","Damascus","名詞","固有名詞","組織","*","*","*","*","*","*","623","6","3",NULL
"87928","04/15/2015 08:54:34","04/15/2015 08:54:34","）","記号","括弧閉","*","*","*","*","）","）","）","623","6","3",NULL
"87929","04/15/2015 08:54:34","04/15/2015 08:54:34","で","助詞","格助詞","一般","*","*","*","で","デ","デ","623","6","3",NULL
"87930","04/15/2015 08:54:34","04/15/2015 08:54:34","暗殺","名詞","サ変接続","*","*","*","*","暗殺","アンサツ","アンサツ","623","6","3",NULL
"87931","04/15/2015 08:54:34","04/15/2015 08:54:34","さ","動詞","自立","*","*","サ変・スル","未然レル接続","する","サ","サ","623","6","3",NULL
