172/,こと,名詞/,非自立/,一般/,*/,46
11103/11104/,日本車,名詞/名詞/,固有名詞/接尾/,地域/一般/,国/*/,31
6215/,日本,名詞/,固有名詞/,地域/,国/,21
9448/,ドル,名詞/,一般/,*/,*/,19
14713/,スイスフラン,名詞/,一般/,*/,*/,19
813/,実施,名詞/,サ変接続/,*/,*/,17
6372/,の,名詞/,非自立/,一般/,*/,17
14715/,ユーロ,名詞/,一般/,*/,*/,16
203/,ため,名詞/,非自立/,副詞可能/,*/,15
6209/,拡大,名詞/,サ変接続/,*/,*/,14
11196/,さ,名詞/,接尾/,特殊/,*/,13
864/,海外,名詞/,一般/,*/,*/,11
6901/,タカタ,名詞/,固有名詞/,組織/,*/,11
7000/7001/,自動車メーカー,名詞/名詞/,一般/一般/,*/*/,*/*/,11
83/,そう,名詞/,接尾/,助動詞語幹/,*/,11
9568/,指摘,名詞/,サ変接続/,*/,*/,11
13441/,関税,名詞/,一般/,*/,*/,10
2/,トヨタ自動車,名詞/,固有名詞/,組織/,*/,10
811/,対象,名詞/,一般/,*/,*/,10
6493/,もの,名詞/,非自立/,一般/,*/,10
245/,現在,名詞/,副詞可能/,*/,*/,10
13434/,豪州,名詞/,固有名詞/,地域/,国/,10
13438/,牛肉,名詞/,一般/,*/,*/,10
72/,トヨタ,名詞/,固有名詞/,組織/,*/,10
11092/11093/,中国市場,名詞/名詞/,固有名詞/一般/,地域/*/,国/*/,10
8187/,ほか,名詞/,副詞可能/,*/,*/,9
9642/,負担,名詞/,サ変接続/,*/,*/,9
11127/,理由,名詞/,一般/,*/,*/,9
6833/,予定,名詞/,サ変接続/,*/,*/,9
11334/,見方,名詞/,一般/,*/,*/,8
5775/,生産,名詞/,サ変接続/,*/,*/,8
9657/,非課税,名詞/,一般/,*/,*/,8
10816/,CVT,名詞/,固有名詞/,組織/,*/,8
816/,調査,名詞/,サ変接続/,*/,*/,8
5912/,ホンダ,名詞/,固有名詞/,組織/,*/,8
6995/,取引,名詞/,サ変接続/,*/,*/,8
8729/,ＦＣＶ,名詞/,固有名詞/,組織/,*/,8
6474/,これ,名詞/,代名詞/,一般/,*/,7
10964/,高まり,名詞/,一般/,*/,*/,7
6353/,製品,名詞/,一般/,*/,*/,7
12597/,水素,名詞/,一般/,*/,*/,7
6468/,発表,名詞/,サ変接続/,*/,*/,7
761/,ミライ,名詞/,固有名詞/,一般/,*/,7
11255/11256/,販売台数,名詞/名詞/,サ変接続/一般/,*/*/,*/*/,7
11185/,紹介,名詞/,サ変接続/,*/,*/,7
11132/,記事,名詞/,一般/,*/,*/,7
6965/,世界,名詞/,一般/,*/,*/,7
13462/,イオン,名詞/,一般/,*/,*/,6
12670/12671/,マスク氏,名詞/名詞/,一般/接尾/,*/人名/,*/*/,6
12632/,ＥＶ,名詞/,一般/,*/,*/,6
6975/,計上,名詞/,サ変接続/,*/,*/,6
6986/,中,名詞/,非自立/,副詞可能/,*/,6
11359/11360/,反日感情,名詞/名詞/,一般/一般/,*/*/,*/*/,6
34/,採用,名詞/,サ変接続/,*/,*/,6
850/,問題,名詞/,ナイ形容詞語幹/,*/,*/,6
6250/,機能,名詞/,サ変接続/,*/,*/,6
14719/,下落,名詞/,サ変接続/,*/,*/,6
6447/,リコール,名詞/,サ変接続/,*/,*/,6
754/,発売,名詞/,サ変接続/,*/,*/,6
183/,人,名詞/,一般/,*/,*/,6
11154/,中国,名詞/,固有名詞/,地域/,国/,6
