"id","created_at","updated_at","form","hin","hin_1","hin_2","hin_3","katsu_kei","katsu_kata","genkei","yomi","hatsu","history_id","category_id","genre_id","user_id"
"39093","04/15/2015 08:28:18","04/15/2015 08:28:18","円","名詞","接尾","助数詞","*","*","*","円","エン","エン","1208","14","1",NULL
"39094","04/15/2015 08:28:18","04/15/2015 08:28:18","）","記号","括弧閉","*","*","*","*","）","）","）","1208","14","1",NULL
"39095","04/15/2015 08:28:18","04/15/2015 08:28:18","を","助詞","格助詞","一般","*","*","*","を","ヲ","ヲ","1208","14","1",NULL
"39096","04/15/2015 08:28:18","04/15/2015 08:28:18","言い渡し","動詞","自立","*","*","五段・サ行","連用形","言い渡す","イイワタシ","イーワタシ","1208","14","1",NULL
"39097","04/15/2015 08:28:18","04/15/2015 08:28:18","た","助動詞","*","*","*","特殊・タ","基本形","た","タ","タ","1208","14","1",NULL
"39098","04/15/2015 08:28:18","04/15/2015 08:28:18","。","記号","句点","*","*","*","*","。","。","。","1208","14","1",NULL
"39099","04/15/2015 08:28:18","04/15/2015 08:28:18","
","記号","一般","*","*","*","*","*","*","*","1208","14","1",NULL
"39100","04/15/2015 08:28:18","04/15/2015 08:28:18","
","記号","一般","*","*","*","*","*","*","*","1208","14","1",NULL
"39101","04/15/2015 08:28:18","04/15/2015 08:28:18","裁判","名詞","一般","*","*","*","*","裁判","サイバン","サイバン","1208","14","1",NULL
"39102","04/15/2015 08:28:18","04/15/2015 08:28:18","で","助詞","格助詞","一般","*","*","*","で","デ","デ","1208","14","1",NULL
"39103","04/15/2015 08:28:18","04/15/2015 08:28:18","は","助詞","係助詞","*","*","*","*","は","ハ","ワ","1208","14","1",NULL
"39104","04/15/2015 08:28:18","04/15/2015 08:28:18","、","記号","読点","*","*","*","*","、","、","、","1208","14","1",NULL
"39105","04/15/2015 08:28:18","04/15/2015 08:28:18","贈賄","名詞","サ変接続","*","*","*","*","贈賄","ゾウワイ","ゾーワイ","1208","14","1",NULL
